ID,Tipo,Nombre,Destino,País,Región,Categoría,Estrellas,Precio_neto_EUR,Precio_unidad,Comisión_%,Proveedor,Accesible_PMR,Notas,Contacto,Temporada_alta,Min_noches,Capacidad_max_pax,Tags
30,Hotel,Riad Tenerife,Tenerife,ES,Europa,boutique,4,159,por noche,12,Booking Partner,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@tenerife.com,Julio-Agosto,3,6,"boutique,europa,hotel"
31,Hotel,Riad Gran Canaria,Gran Canaria,ES,Europa,boutique,4,134,por noche,18,Four Seasons,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@grancana.com,Julio-Agosto,1,2,"boutique,europa,hotel"
32,Hotel,Finca Lanzarote,Lanzarote,ES,Europa,budget,3,49,por noche,12,Hilton,Sí,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@lanzarot.com,Julio-Agosto,3,2,"budget,europa,hotel"
33,Hotel,Villa Ibiza,Ibiza,ES,Europa,luxury,5,221,por noche,20,Marriott,No,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@ibiza.com,Julio-Agosto,1,6,"luxury,europa,hotel"
34,Hotel,Hotel 3 Estrellas Menorca,Menorca,ES,Europa,budget,3,87,por noche,15,Hyatt,No,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@menorca.com,Julio-Agosto,1,2,"budget,europa,hotel"
35,Hotel,Lodge Menorca,Menorca,ES,Europa,standard,4,148,por noche,20,Meliá Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@menorca.com,Julio-Agosto,2,2,"standard,europa,hotel"
36,Hotel,Massería Menorca,Menorca,ES,Europa,boutique,4,214,por noche,18,Design Hotels,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@menorca.com,Julio-Agosto,3,4,"boutique,europa,hotel"
37,Hotel,Ryokan Santiago de Compostela,Santiago de Compostela,ES,Europa,standard,4,97,por noche,10,Preferred Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@santiago.com,Julio-Agosto,3,6,"standard,europa,hotel"
38,Hotel,Resort & Spa Asturias,Asturias,ES,Europa,luxury,5,324,por noche,15,NH Hotels,Parcial,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@asturias.com,Julio-Agosto,3,4,"luxury,europa,hotel"
39,Hotel,Eco Lodge Asturias,Asturias,ES,Europa,budget,3,50,por noche,18,Design Hotels,No,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@asturias.com,Julio-Agosto,1,2,"budget,europa,hotel"
40,Hotel,Hacienda Ribadesella,Ribadesella,ES,Europa,standard,4,100,por noche,18,Four Seasons,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@ribadese.com,Julio-Agosto,2,6,"standard,europa,hotel"
41,Hotel,Hotel Boutique Ribadesella,Ribadesella,ES,Europa,boutique,4,139,por noche,10,Design Hotels,No,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@ribadese.com,Julio-Agosto,3,6,"boutique,europa,hotel"
42,Hotel,Hotel 4 Estrellas Ribadesella,Ribadesella,ES,Europa,standard,4,85,por noche,15,Preferred Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@ribadese.com,Julio-Agosto,2,2,"standard,europa,hotel"
43,Hotel,Ryokan París,París,FR,Europa,standard,4,151,por noche,20,Small Luxury Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@parís.com,Julio-Agosto,1,2,"standard,europa,hotel"
44,Hotel,Hacienda París,París,FR,Europa,standard,4,83,por noche,15,Relais & Châteaux,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@parís.com,Julio-Agosto,3,6,"standard,europa,hotel"
45,Hotel,Resort & Spa Lyon,Lyon,FR,Europa,luxury,5,261,por noche,18,NH Hotels,Sí,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@lyon.com,Julio-Agosto,2,4,"luxury,europa,hotel"
46,Hotel,Resort & Spa Lyon,Lyon,FR,Europa,luxury,5,296,por noche,12,Hilton,No,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@lyon.com,Julio-Agosto,2,2,"luxury,europa,hotel"
47,Hotel,Parador Niza,Niza,FR,Europa,standard,4,148,por noche,10,Hotelbeds,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@niza.com,Julio-Agosto,1,6,"standard,europa,hotel"
48,Hotel,Resort & Spa Niza,Niza,FR,Europa,luxury,5,199,por noche,15,Small Luxury Hotels,No,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@niza.com,Julio-Agosto,2,6,"luxury,europa,hotel"
49,Hotel,Eco Lodge Niza,Niza,FR,Europa,budget,3,57,por noche,15,Booking Partner,Parcial,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@niza.com,Julio-Agosto,2,2,"budget,europa,hotel"
50,Hotel,Parador Marsella,Marsella,FR,Europa,standard,4,122,por noche,15,Contrato directo,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@marsella.com,Julio-Agosto,3,4,"standard,europa,hotel"
51,Hotel,Eco Lodge Marsella,Marsella,FR,Europa,budget,3,70,por noche,15,Four Seasons,Sí,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@marsella.com,Julio-Agosto,1,4,"budget,europa,hotel"
52,Hotel,Ryokan Burdeos,Burdeos,FR,Europa,standard,4,152,por noche,18,Four Seasons,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@burdeos.com,Julio-Agosto,2,4,"standard,europa,hotel"
53,Hotel,Hotel 3 Estrellas Burdeos,Burdeos,FR,Europa,budget,3,86,por noche,15,Hyatt,No,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@burdeos.com,Julio-Agosto,2,6,"budget,europa,hotel"
54,Hotel,Hotel 3 Estrellas Burdeos,Burdeos,FR,Europa,budget,3,87,por noche,10,Meliá Hotels,Parcial,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@burdeos.com,Julio-Agosto,3,6,"budget,europa,hotel"
55,Hotel,Villa Burdeos,Burdeos,FR,Europa,luxury,5,351,por noche,15,NH Hotels,Sí,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@burdeos.com,Julio-Agosto,1,2,"luxury,europa,hotel"
56,Hotel,Hotel 3 Estrellas Estrasburgo,Estrasburgo,FR,Europa,budget,3,74,por noche,18,Preferred Hotels,Parcial,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@estrasbu.com,Julio-Agosto,3,2,"budget,europa,hotel"
57,Hotel,Lodge Roma,Roma,IT,Europa,standard,4,98,por noche,10,Preferred Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@roma.com,Julio-Agosto,2,2,"standard,europa,hotel"
58,Hotel,Hotel 4 Estrellas Roma,Roma,IT,Europa,standard,4,86,por noche,12,Preferred Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@roma.com,Julio-Agosto,2,2,"standard,europa,hotel"
59,Hotel,Hacienda Roma,Roma,IT,Europa,standard,4,151,por noche,15,Relais & Châteaux,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@roma.com,Julio-Agosto,3,6,"standard,europa,hotel"
60,Hotel,Massería Roma,Roma,IT,Europa,boutique,4,229,por noche,12,Small Luxury Hotels,No,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@roma.com,Julio-Agosto,2,4,"boutique,europa,hotel"
61,Hotel,Finca Milán,Milán,IT,Europa,budget,3,85,por noche,12,Meliá Hotels,No,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@milán.com,Julio-Agosto,1,6,"budget,europa,hotel"
62,Hotel,Resort & Spa Milán,Milán,IT,Europa,luxury,5,300,por noche,20,Hotelbeds,Sí,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@milán.com,Julio-Agosto,1,2,"luxury,europa,hotel"
63,Hotel,Riad Florencia,Florencia,IT,Europa,boutique,4,174,por noche,18,Marriott,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@florenci.com,Julio-Agosto,2,4,"boutique,europa,hotel"
64,Hotel,Hotel Boutique Florencia,Florencia,IT,Europa,boutique,4,227,por noche,20,Small Luxury Hotels,Sí,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@florenci.com,Julio-Agosto,3,4,"boutique,europa,hotel"
65,Hotel,Lodge Florencia,Florencia,IT,Europa,standard,4,118,por noche,18,Design Hotels,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@florenci.com,Julio-Agosto,3,6,"standard,europa,hotel"
66,Hotel,Riad Florencia,Florencia,IT,Europa,boutique,4,244,por noche,18,Hyatt,Sí,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@florenci.com,Julio-Agosto,2,4,"boutique,europa,hotel"
67,Hotel,Riad Venecia,Venecia,IT,Europa,boutique,4,239,por noche,20,Booking Partner,No,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@venecia.com,Julio-Agosto,3,6,"boutique,europa,hotel"
68,Hotel,Ryokan Venecia,Venecia,IT,Europa,standard,4,134,por noche,18,Barceló Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@venecia.com,Julio-Agosto,2,4,"standard,europa,hotel"
69,Hotel,Parador Venecia,Venecia,IT,Europa,standard,4,121,por noche,18,Meliá Hotels,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@venecia.com,Julio-Agosto,2,2,"standard,europa,hotel"
70,Hotel,Lodge Venecia,Venecia,IT,Europa,standard,4,86,por noche,12,Contrato directo,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@venecia.com,Julio-Agosto,3,2,"standard,europa,hotel"
71,Hotel,Hotel 3 Estrellas Nápoles,Nápoles,IT,Europa,budget,3,54,por noche,12,Barceló Hotels,No,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@nápoles.com,Julio-Agosto,3,2,"budget,europa,hotel"
72,Hotel,Lodge Sicilia,Sicilia,IT,Europa,standard,4,101,por noche,20,Small Luxury Hotels,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@sicilia.com,Julio-Agosto,1,2,"standard,europa,hotel"
73,Hotel,Resort & Spa Sicilia,Sicilia,IT,Europa,luxury,5,235,por noche,20,Contrato directo,No,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@sicilia.com,Julio-Agosto,2,6,"luxury,europa,hotel"
74,Hotel,Hotel 5 Estrellas Cerdeña,Cerdeña,IT,Europa,luxury,5,304,por noche,20,Relais & Châteaux,Sí,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@cerdeña.com,Julio-Agosto,3,2,"luxury,europa,hotel"
75,Hotel,Parador Cerdeña,Cerdeña,IT,Europa,standard,4,88,por noche,15,Booking Partner,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@cerdeña.com,Julio-Agosto,2,2,"standard,europa,hotel"
76,Hotel,Parador Cinque Terre,Cinque Terre,IT,Europa,standard,4,135,por noche,20,Contrato directo,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@cinquete.com,Julio-Agosto,3,6,"standard,europa,hotel"
77,Hotel,Hacienda Cinque Terre,Cinque Terre,IT,Europa,standard,4,135,por noche,20,Meliá Hotels,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@cinquete.com,Julio-Agosto,1,2,"standard,europa,hotel"
78,Hotel,Resort & Spa Cinque Terre,Cinque Terre,IT,Europa,luxury,5,410,por noche,20,Contrato directo,No,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@cinquete.com,Julio-Agosto,2,2,"luxury,europa,hotel"
79,Hotel,Lodge Cinque Terre,Cinque Terre,IT,Europa,standard,4,142,por noche,15,Relais & Châteaux,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@cinquete.com,Julio-Agosto,2,4,"standard,europa,hotel"
80,Hotel,Eco Lodge Amalfi,Amalfi,IT,Europa,budget,3,50,por noche,12,Small Luxury Hotels,No,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@amalfi.com,Julio-Agosto,2,6,"budget,europa,hotel"
81,Hotel,Hacienda Amalfi,Amalfi,IT,Europa,standard,4,142,por noche,10,Hotelbeds,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@amalfi.com,Julio-Agosto,1,4,"standard,europa,hotel"
82,Hotel,Riad Amalfi,Amalfi,IT,Europa,boutique,4,198,por noche,18,Four Seasons,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@amalfi.com,Julio-Agosto,2,4,"boutique,europa,hotel"
83,Hotel,Parador Londres,Londres,GB,Europa,standard,4,119,por noche,12,Hotelbeds,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@londres.com,Julio-Agosto,1,4,"standard,europa,hotel"
84,Hotel,Hotel 5 Estrellas Londres,Londres,GB,Europa,luxury,5,274,por noche,18,Meliá Hotels,Parcial,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@londres.com,Julio-Agosto,3,6,"luxury,europa,hotel"
85,Hotel,Villa Londres,Londres,GB,Europa,luxury,5,324,por noche,12,Marriott,Sí,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@londres.com,Julio-Agosto,2,2,"luxury,europa,hotel"
86,Hotel,Resort & Spa Edimburgo,Edimburgo,GB,Europa,luxury,5,203,por noche,12,Contrato directo,No,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@edimburg.com,Julio-Agosto,1,2,"luxury,europa,hotel"
87,Hotel,Villa Edimburgo,Edimburgo,GB,Europa,luxury,5,325,por noche,15,Barceló Hotels,Sí,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@edimburg.com,Julio-Agosto,2,4,"luxury,europa,hotel"
88,Hotel,Finca Dublín,Dublín,IE,Europa,budget,3,49,por noche,20,Contrato directo,Parcial,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@dublín.com,Julio-Agosto,1,2,"budget,europa,hotel"
89,Hotel,Hacienda Ámsterdam,Ámsterdam,NL,Europa,standard,4,111,por noche,20,Relais & Châteaux,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@ámsterda.com,Julio-Agosto,3,6,"standard,europa,hotel"
90,Hotel,Hacienda Ámsterdam,Ámsterdam,NL,Europa,standard,4,128,por noche,18,Meliá Hotels,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@ámsterda.com,Julio-Agosto,2,4,"standard,europa,hotel"
91,Hotel,Villa Bruselas,Bruselas,BE,Europa,luxury,5,230,por noche,15,Contrato directo,Sí,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@bruselas.com,Julio-Agosto,1,2,"luxury,europa,hotel"
92,Hotel,Eco Lodge Berlín,Berlín,DE,Europa,budget,3,71,por noche,18,Small Luxury Hotels,Parcial,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@berlín.com,Julio-Agosto,2,4,"budget,europa,hotel"
93,Hotel,Hotel Boutique Berlín,Berlín,DE,Europa,boutique,4,193,por noche,18,Hotelbeds,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@berlín.com,Julio-Agosto,1,4,"boutique,europa,hotel"
94,Hotel,Posada Múnich,Múnich,DE,Europa,budget,3,86,por noche,12,Preferred Hotels,No,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@múnich.com,Julio-Agosto,1,2,"budget,europa,hotel"
95,Hotel,Hotel Boutique Múnich,Múnich,DE,Europa,boutique,4,198,por noche,20,Preferred Hotels,No,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@múnich.com,Julio-Agosto,2,2,"boutique,europa,hotel"
96,Hotel,Riad Hamburgo,Hamburgo,DE,Europa,boutique,4,223,por noche,20,Hyatt,No,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@hamburgo.com,Julio-Agosto,1,6,"boutique,europa,hotel"
97,Hotel,Hotel Boutique Hamburgo,Hamburgo,DE,Europa,boutique,4,202,por noche,10,Hotelbeds,Sí,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@hamburgo.com,Julio-Agosto,3,6,"boutique,europa,hotel"
98,Hotel,Villa Hamburgo,Hamburgo,DE,Europa,luxury,5,190,por noche,12,Hyatt,Parcial,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@hamburgo.com,Julio-Agosto,3,4,"luxury,europa,hotel"
99,Hotel,Massería Hamburgo,Hamburgo,DE,Europa,boutique,4,166,por noche,18,Hotelbeds,No,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@hamburgo.com,Julio-Agosto,2,4,"boutique,europa,hotel"
100,Hotel,Parador Viena,Viena,AT,Europa,standard,4,122,por noche,18,Meliá Hotels,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@viena.com,Julio-Agosto,2,6,"standard,europa,hotel"
101,Hotel,Hotel Boutique Viena,Viena,AT,Europa,boutique,4,142,por noche,15,Hotelbeds,No,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@viena.com,Julio-Agosto,3,2,"boutique,europa,hotel"
102,Hotel,Ryokan Viena,Viena,AT,Europa,standard,4,86,por noche,20,Marriott,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@viena.com,Julio-Agosto,2,6,"standard,europa,hotel"
103,Hotel,Hacienda Salzburgo,Salzburgo,AT,Europa,standard,4,114,por noche,12,Preferred Hotels,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@salzburg.com,Julio-Agosto,2,6,"standard,europa,hotel"
104,Hotel,Lodge Salzburgo,Salzburgo,AT,Europa,standard,4,160,por noche,12,Small Luxury Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@salzburg.com,Julio-Agosto,2,6,"standard,europa,hotel"
105,Hotel,Hotel Boutique Salzburgo,Salzburgo,AT,Europa,boutique,4,143,por noche,18,Hotelbeds,Parcial,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@salzburg.com,Julio-Agosto,1,4,"boutique,europa,hotel"
106,Hotel,Massería Salzburgo,Salzburgo,AT,Europa,boutique,4,250,por noche,18,Hyatt,Sí,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@salzburg.com,Julio-Agosto,2,6,"boutique,europa,hotel"
107,Hotel,Posada Praga,Praga,CZ,Europa,budget,3,92,por noche,12,Design Hotels,Sí,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@praga.com,Julio-Agosto,2,4,"budget,europa,hotel"
108,Hotel,Parador Praga,Praga,CZ,Europa,standard,4,80,por noche,15,Design Hotels,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@praga.com,Julio-Agosto,3,6,"standard,europa,hotel"
109,Hotel,Finca Budapest,Budapest,HU,Europa,budget,3,75,por noche,15,Marriott,Parcial,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@budapest.com,Julio-Agosto,3,4,"budget,europa,hotel"
110,Hotel,Lodge Budapest,Budapest,HU,Europa,standard,4,110,por noche,18,NH Hotels,No,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@budapest.com,Julio-Agosto,1,4,"standard,europa,hotel"
111,Hotel,Riad Budapest,Budapest,HU,Europa,boutique,4,217,por noche,12,Hyatt,Sí,Categoría boutique. 4 estrellas. Desayuno disponible.,reservas@budapest.com,Julio-Agosto,1,6,"boutique,europa,hotel"
112,Hotel,Villa Budapest,Budapest,HU,Europa,luxury,5,349,por noche,20,Preferred Hotels,No,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@budapest.com,Julio-Agosto,1,6,"luxury,europa,hotel"
113,Hotel,Posada Cracovia,Cracovia,PL,Europa,budget,3,95,por noche,15,Marriott,Parcial,Categoría budget. 3 estrellas. Desayuno disponible.,reservas@cracovia.com,Julio-Agosto,3,4,"budget,europa,hotel"
114,Hotel,Ryokan Cracovia,Cracovia,PL,Europa,standard,4,148,por noche,15,Contrato directo,Parcial,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@cracovia.com,Julio-Agosto,2,6,"standard,europa,hotel"
115,Hotel,Villa Varsovia,Varsovia,PL,Europa,luxury,5,215,por noche,15,NH Hotels,Parcial,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@varsovia.com,Julio-Agosto,1,4,"luxury,europa,hotel"
116,Hotel,Hacienda Lisboa,Lisboa,PT,Europa,standard,4,101,por noche,15,Preferred Hotels,Sí,Categoría standard. 4 estrellas. Desayuno disponible.,reservas@lisboa.com,Julio-Agosto,1,4,"standard,europa,hotel"
117,Hotel,Resort & Spa Oporto,Oporto,PT,Europa,luxury,5,363,por noche,12,Four Seasons,No,Categoría luxury. 5 estrellas. Desayuno disponible.,reservas@oporto.com,Julio-Agosto,3,6,"luxury,europa,hotel"
